recid	D2	Z2	earnings	prevearn	edu	n_hs2	n_hs2_abv	sex
303341	0	1	23531	4000	10	13	0	0
303342	0	1	41661	616	14	13	0	1
303343	1	1	2601	1000	12	13	0	0
303346	0	1	1890	0	18	16	0	0
303347	1	1	30684	10000	12	37	1	1
303350	1	0	15743	0	12	28	0	0
303352	0	0	55754	15360	8	28	0	1
303354	0	0	13910	1560	16	17	0	1
303355	0	0	37476	6319	13	16	0	0
303356	1	1	43237	4000	14	39	1	1
303357	1	1	3123	2000	10	16	0	0
303360	1	1	49050	0	14	9	0	1
303366	1	1	33219	600	12	1	0	1
303369	0	0	8080	0	9	13	0	1
303370	0	0	2004	0	12	1	0	0
303372	1	1	61710	5130	14	0	0	1
303376	1	1	22563	7000	12	13	0	0
303377	0	0	17525	0	11	17	0	0
303379	0	0	108542	8000	17	13	0	1
303380	1	1	9756	2164	12	13	0	0
303381	0	0	0	1300	14	13	0	1
303382	1	1	18231	98	13	39	1	0
303384	0	0	7497	4800	12	19	0	1
303385	0	0	8034	1489	12	13	0	1
303386	1	1	8312	8300	16	2	0	0
303388	0	1	0	9000	11	19	0	1
303389	0	1	23909	0	14	0	0	0
303390	1	1	53769	4000	12	16	0	1
303391	0	0	0	0	10	1	0	0
303392	1	1	33809	7079	12	39	1	0
303394	0	0	34	5200	11	13	0	1
303398	0	0	26538	20000	17	28	0	0
303399	1	1	22632	900	7	16	0	1
303401	0	1	6345	509	11	1	0	0
303402	0	1	4125	0	12	17	0	0
303406	1	1	42759	3000	12	17	0	0
303409	0	1	35167	5000	11	1	0	0
303410	1	1	11116	400	12	9	0	0
303411	0	0	17161	554	10	13	0	0
303412	0	0	31464	0	11	1	0	1
303413	1	1	54039	1200	12	15	0	1
303415	0	1	7441	0	12	9	0	1
303418	0	1	6568	10056	9	1	0	1
303420	0	1	15537	0	11	19	0	0
303422	1	1	25833	2000	12	16	0	0
303423	1	1	0	0	9	9	0	0
303424	0	0	0	0	10	39	1	0
303427	1	1	19262	0	10	346	1	0
303428	0	0	8195	2224	12	9	0	1
303430	1	1	42888	0	12	28	0	1
303431	1	1	0	3000	12	40	1	1
303434	0	0	3434	1600	9	1	0	1
303436	0	1	64370	10000	12	13	0	1
303443	1	1	72	14305	12	16	0	0
303445	0	0	1961	1000	11	13	0	1
303455	0	1	1300	502	13	13	0	1
303456	0	0	1538	3360	16	13	0	0
303457	0	1	36065	5550	12	0	0	1
303458	1	1	52130	10400	12	13	0	0
303459	1	1	12481	3000	13	17	0	1
303464	1	1	712	0	11	37	1	0
303466	0	1	77815	6000	12	13	0	1
303468	0	0	2969	3500	12	17	0	1
303469	1	1	47833	2000	12	15	0	1
303470	0	0	0	0	8	9	0	0
303476	1	1	23070	2000	12	13	0	0
303478	0	0	5154	0	13	19	0	0
303482	0	1	0	3976	12	1	0	0
303483	0	1	18259	500	14	13	0	1
303485	1	1	0	6000	14	19	0	0
303486	1	1	22788	0	11	17	0	1
303487	1	1	17719	6500	9	13	0	0
303488	1	1	5462	0	12	17	0	0
303491	0	1	93	0	12	17	0	0
303493	0	0	5076	500	12	19	0	1
303497	0	0	0	0	10	0	0	1
303506	0	1	0	0	12	17	0	1
303507	0	0	17531	0	12	9	0	1
303508	0	1	19235	0	12	2	0	0
303510	0	1	30887	6000	9	19	0	0
303517	1	1	2007	600	12	19	0	1
303520	0	0	0	0	10	346	1	1
303521	1	1	27670	5500	9	2	0	1
303522	1	1	43239	2061	14	39	1	1
303523	0	1	14018	9417	12	0	0	1
303525	0	0	16897	8000	11	13	0	1
303526	0	1	124612	1200	14	0	0	1
303528	1	1	0	0	9	19	0	0
303530	0	1	0	0	11	17	0	0
303532	1	1	34564	200	13	13	0	0
303533	0	0	49787	0	17	19	0	1
303535	0	1	3778	1800	11	9	0	1
303538	0	1	12534	600	11	13	0	1
303540	1	1	16038	5000	12	13	0	1
303542	0	1	10623	10000	12	13	0	0
303545	1	1	11655	1200	13	13	0	1
303547	0	0	9009	3500	14	1	0	0
303550	1	1	36432	0	14	16	0	0
303551	0	0	28353	4000	16	2	0	1
303559	0	0	22845	2200	12	39	1	0
303561	1	1	30138	1880	12	15	0	0
303563	0	0	22424	1000	17	17	0	1
303566	0	1	12596	1855	12	13	0	1
303567	0	0	4419	0	11	13	0	0
303570	0	0	6542	1490	11	16	0	0
303571	0	1	44151	3000	12	28	0	1
303572	1	1	0	0	12	15	0	0
303573	1	1	44131	12000	11	16	0	1
303574	1	1	10554	0	12	17	0	0
303575	0	0	7528	0	12	2	0	0
303580	1	1	42138	8500	9	16	0	1
303581	0	1	1760	90	15	13	0	1
303582	0	1	20773	800	11	1	0	1
303583	0	1	0	0	14	1	0	0
303589	1	1	7980	0	12	19	0	1
303591	0	1	4378	500	12	13	0	1
303592	0	1	0	0	12	19	0	0
303594	1	1	36224	11760	13	346	1	1
303597	0	0	69399	0	14	16	0	1
303599	0	1	24654	1000	12	9	0	1
303601	0	1	5308	100	9	2	0	1
303605	1	1	234	0	13	17	0	0
303608	0	0	0	1500	11	15	0	1
303611	1	1	13629	2200	12	16	0	0
303613	0	0	16563	22233	12	16	0	1
303614	0	0	2538	3400	10	2	0	0
303615	0	1	2115	0	12	19	0	0
303616	0	0	16917	9747	12	9	0	0
303617	1	1	30090	8000	12	1	0	0
303618	0	0	14039	13099	15	17	0	0
303623	1	1	9915	0	12	13	0	0
303624	0	1	84265	0	13	13	0	0
303627	1	1	990	8280	13	16	0	1
303630	1	1	1446	0	9	17	0	1
303632	0	0	15507	800	11	1	0	1
303633	0	1	2042	0	11	13	0	1
303634	1	1	10545	4616	11	16	0	1
303636	1	1	15414	0	11	13	0	0
303640	0	0	26592	0	12	17	0	0
303642	1	1	35772	1955	12	2	0	0
303643	0	1	0	1900	9	13	0	1
303644	1	1	5376	10133	14	13	0	0
303646	1	1	54288	15600	12	13	0	1
303651	1	0	2284	10000	12	15	0	0
303656	0	1	22911	750	10	19	0	0
303670	0	0	4174	126	12	1	0	0
303673	1	1	30537	8500	12	37	1	1
303675	0	0	157	300	12	1	0	0
303677	0	0	7794	36600	12	19	0	1
303680	1	1	43085	10000	13	13	0	0
303682	1	1	0	300	12	19	0	0
303684	0	0	3786	0	11	17	0	0
303685	0	0	5516	0	9	15	0	0
303686	0	0	23733	0	8	2	0	1
303687	0	0	12620	0	12	9	0	0
303689	1	0	1287	0	12	13	0	0
303690	1	1	10275	15600	8	19	0	1
303693	1	1	35249	7500	12	2	0	0
303694	0	1	34614	10000	14	19	0	1
303695	1	1	20900	0	8	17	0	0
303697	0	1	0	0	9	346	1	0
303699	1	1	12324	6500	12	13	0	0
303700	1	1	25308	0	10	19	0	0
303701	0	0	37879	0	9	16	0	1
303707	0	0	26682	2500	11	19	0	1
303709	1	1	21574	300	12	17	0	0
303710	1	1	30541	7000	9	1	0	1
303711	1	1	0	200	12	28	0	0
303712	1	1	28566	3500	10	13	0	1
303715	0	0	21879	6260	14	15	0	1
303716	0	0	38175	8000	11	13	0	1
303717	0	1	24075	13000	12	13	0	0
303718	0	1	0	0	12	2	0	0
303719	0	1	3561	75	14	15	0	0
303720	0	1	4980	2000	12	13	0	0
303722	1	1	72000	8640	8	13	0	1
303723	0	0	25670	15000	14	13	0	1
303729	0	0	23547	6000	12	28	0	1
303731	0	0	20553	155	11	1	0	0
303732	1	1	22415	4800	12	15	0	0
303734	1	1	4459	268	11	9	0	0
303740	0	0	36113	4600	13	13	0	0
303741	1	1	1362	1000	11	19	0	1
303745	1	1	0	2000	11	16	0	0
303746	1	1	13806	0	16	346	1	0
303749	0	0	0	75	13	39	1	0
303756	0	1	7835	9000	13	13	0	0
303757	1	1	1818	2200	12	37	1	1
303764	1	1	7413	0	8	1	0	0
303766	0	1	0	4203	12	40	1	0
303768	1	1	23787	4726	12	39	1	0
303771	0	1	30038	6000	14	39	1	1
303772	0	0	13600	7500	11	39	1	1
303778	0	0	32415	7500	12	13	0	1
303779	0	1	0	9000	12	1	0	1
303784	0	0	16281	1380	12	0	0	1
303785	0	1	13815	224	9	28	0	0
303786	0	0	12510	6000	10	39	1	1
303793	0	1	40444	10400	11	13	0	1
303795	0	1	9651	3500	12	13	0	0
303797	1	1	2577	0	11	1	0	0
303799	1	1	3990	600	12	19	0	1
303800	1	1	30888	4800	10	13	0	0
303802	1	1	7988	0	12	1	0	0
303803	1	1	1999	3350	12	39	1	1
303804	1	1	32129	7000	12	13	0	1
303806	1	1	14040	2000	12	16	0	1
303807	1	1	38712	5000	15	15	0	0
303810	1	1	4402	0	13	19	0	1
303811	0	0	0	0	11	17	0	0
303815	0	0	6726	0	11	17	0	0
303821	0	0	26937	1200	12	13	0	0
303822	1	1	38498	5500	12	2	0	0
303824	0	0	0	98	12	1	0	0
303825	0	0	8502	0	9	1	0	0
303826	0	0	16254	2144	12	13	0	0
303828	0	0	0	0	12	19	0	0
303830	1	0	0	0	14	37	1	1
303835	0	0	6081	0	11	17	0	0
303836	0	0	57312	2100	9	13	0	1
303837	1	1	6204	0	12	28	0	0
303841	1	1	43041	0	10	13	0	0
303843	1	1	26072	1600	11	39	1	1
303848	0	0	8736	0	11	17	0	0
303850	1	1	12471	1600	8	13	0	1
303852	0	0	453	4500	11	1	0	1
303854	0	0	6879	5109	13	13	0	1
303857	1	1	34377	3296	12	0	0	0
303858	1	1	7294	0	12	13	0	1
303859	0	1	2775	20000	16	16	0	1
303861	1	1	38926	4000	13	16	0	1
303863	1	1	18739	0	15	15	0	0
303865	0	1	29080	2000	9	13	0	1
303869	0	0	19737	6000	8	17	0	1
303873	1	1	423	0	12	39	1	0
303875	0	1	269	892	11	1	0	1
303876	1	1	34290	0	12	13	0	0
303881	0	1	28107	0	12	13	0	1
303886	0	1	6985	0	10	13	0	0
303887	0	0	0	0	14	17	0	1
303890	1	1	45741	2000	16	39	1	1
303894	0	0	34905	2000	11	13	0	1
303895	1	1	15920	250	12	9	0	0
303900	0	0	251	1000	12	2	0	1
303901	0	1	0	0	11	19	0	0
303902	0	0	40692	2500	12	0	0	1
303904	0	0	62451	3194	14	13	0	1
303905	1	1	45537	9000	14	13	0	1
303906	0	1	9874	883	9	1	0	0
303911	1	1	27469	5000	12	13	0	0
303916	1	1	9425	1279	10	1	0	1
303918	0	1	24072	0	12	17	0	0
303919	0	1	43912	6512	11	39	1	1
303921	0	0	19358	4899	12	28	0	1
303922	0	1	37505	15717	13	17	0	1
303923	1	1	384	3000	12	17	0	0
303924	0	0	0	0	11	19	0	1
303925	1	1	16233	1000	12	13	0	0
303928	0	1	0	0	8	1	0	0
303929	0	1	21	350	14	13	0	1
303931	0	1	88454	8100	11	9	0	1
303932	0	0	30630	10000	14	13	0	1
303936	0	1	69	375	12	19	0	0
303939	0	0	1725	1452	10	2	0	1
303941	1	1	11410	0	11	15	0	0
303944	0	0	12424	0	10	19	0	1
303947	0	1	2196	300	9	19	0	0
303948	1	1	67389	4800	8	9	0	1
303950	0	1	18484	36000	12	28	0	1
303951	0	0	1528	0	10	28	0	1
303954	0	0	2073	3000	13	13	0	1
303956	1	1	25494	14000	13	9	0	0
303958	0	0	21777	0	12	9	0	0
303959	0	1	2079	1800	12	13	0	0
303960	0	0	669	5250	10	15	0	0
303961	0	0	21549	3750	12	1	0	1
303963	1	1	3109	0	12	28	0	0
303964	1	1	6375	5000	13	19	0	1
303965	1	1	28975	14000	12	0	0	1
303968	0	1	10638	4000	13	16	0	0
303969	0	0	2160	0	11	9	0	0
303970	1	1	8861	2674	17	16	0	0
303971	1	1	16517	1000	10	13	0	1
303975	1	1	290	0	10	9	0	0
303978	1	1	10058	15000	12	17	0	1
303980	0	0	210	2448	9	16	0	1
303982	0	1	0	200	16	13	0	1
303984	1	1	438	0	12	9	0	0
303986	1	1	0	0	13	13	0	0
303989	0	1	37071	371	12	39	1	1
303993	1	1	15038	500	15	13	0	0
303996	1	1	8004	2000	11	16	0	1
303998	1	0	1449	0	12	15	0	1
303999	1	1	39687	10000	15	37	1	1
304000	1	1	3990	5570	16	17	0	0
304008	1	1	3985	0	12	17	0	0
304009	0	0	0	0	12	19	0	0
304012	1	1	14523	6000	11	16	0	1
304013	0	0	0	550	11	19	0	0
304014	0	0	2018	0	11	17	0	1
304015	0	0	19104	0	12	9	0	0
304016	0	1	24541	4000	10	13	0	1
304018	0	1	33368	12	12	40	1	0
304020	0	1	39	522	10	17	0	0
304022	0	0	26009	3000	12	39	1	0
304024	0	1	35559	5000	12	13	0	0
304025	1	1	30229	13000	12	13	0	1
304027	1	1	15318	1322	12	13	0	0
304028	1	1	4470	0	11	9	0	0
304030	0	1	9481	3000	11	28	0	1
304032	0	0	16200	7395	12	39	1	1
304034	0	1	324	10000	8	1	0	1
304036	1	1	14699	1000	12	9	0	0
304037	0	1	33497	481	16	39	1	0
304039	0	0	0	0	12	39	1	1
304040	0	1	0	0	11	19	0	0
304041	0	0	7381	136	12	16	0	0
304042	0	0	3735	500	12	13	0	1
304043	1	1	1873	1440	10	9	0	1
304045	0	1	20373	18200	9	346	1	0
304048	1	1	0	0	9	16	0	1
304050	0	1	5442	0	10	13	0	0
304052	1	1	43190	18000	16	16	0	1
304056	1	1	54335	575	12	2	0	1
304058	1	0	0	0	9	13	0	0
304059	1	1	11175	3300	12	37	1	0
304060	0	0	636	1100	12	17	0	1
304061	1	1	18489	4000	9	19	0	1
304062	0	0	31196	5000	12	346	1	0
304063	1	1	51423	10880	10	1	0	1
304064	1	1	23409	1056	11	0	0	0
304065	0	1	33282	1200	10	13	0	1
304068	0	0	30662	12000	12	16	0	1
304070	1	1	0	0	12	19	0	0
304072	0	0	18288	7443	12	39	1	1
304074	1	1	554	7000	15	15	0	0
304083	1	1	0	0	10	9	0	0
304085	0	0	34266	8000	11	0	0	1
304087	0	1	4606	1012	12	0	0	0
304088	1	1	26789	6240	14	17	0	0
304089	1	1	3666	0	13	9	0	0
304091	1	1	27474	950	14	2	0	0
304093	1	1	15353	1200	12	13	0	0
304094	0	1	27	4000	12	13	0	1
304095	1	1	3999	0	14	1	0	0
304097	1	1	1320	0	11	17	0	0
304098	0	1	60	275	11	28	0	1
304100	0	0	28029	1957	14	9	0	1
304103	1	1	0	0	16	15	0	1
304104	1	1	16324	1292	12	9	0	1
304105	0	0	31035	0	10	19	0	0
304106	1	1	72244	16800	14	13	0	0
304108	0	0	66996	7149	12	13	0	1
304109	1	1	14669	1680	13	15	0	1
304111	1	1	3051	0	11	17	0	0
304112	0	1	1086	3000	13	15	0	0
304115	0	0	3198	5650	14	17	0	1
304116	1	1	37374	341	10	1	0	1
304120	0	0	31881	0	12	17	0	1
304125	0	1	13759	8000	13	17	0	1
304130	0	0	11961	2560	12	17	0	0
304131	0	0	2868	9000	12	1	0	0
304132	0	0	24347	3000	16	346	1	0
304133	0	0	13266	0	10	9	0	1
304135	0	0	0	2600	16	13	0	1
304140	0	1	27417	11000	14	13	0	0
304141	0	1	4140	0	9	13	0	0
304144	0	0	63760	7000	10	19	0	1
304148	0	0	8380	1400	13	13	0	0
304151	1	1	4204	6000	14	39	1	1
304153	1	1	24364	500	14	17	0	0
304154	1	1	11006	1500	10	346	1	0
304156	0	1	192	1200	13	16	0	1
304157	1	1	0	0	14	1	0	1
304158	0	0	4321	0	12	15	0	0
304159	0	0	23500	2000	12	39	1	1
304160	1	1	969	0	14	17	0	0
304161	0	0	0	0	13	346	1	1
304163	0	0	1533	0	13	39	1	0
304164	1	1	1230	0	14	13	0	1
304169	1	1	9369	1500	10	1	0	1
304170	0	0	0	3000	12	17	0	0
304172	1	1	30762	2980	13	16	0	1
304173	1	1	24645	8800	12	15	0	1
304175	1	1	57732	5000	12	0	0	1
304177	0	0	0	4668	12	40	1	0
304178	1	1	54577	4900	12	13	0	1
304180	0	1	2832	1035	10	13	0	0
304185	1	1	28528	250	10	13	0	0
304187	0	0	15939	0	8	13	0	0
304189	0	0	4005	184	12	13	0	1
304191	1	1	0	5044	8	17	0	1
304193	1	1	17382	3570	12	17	0	1
304194	0	0	37629	0	16	9	0	0
304197	1	1	2913	0	10	17	0	0
304199	1	1	34136	5400	11	17	0	1
304201	0	0	22959	2000	12	17	0	1
304202	0	0	6282	1500	12	2	0	0
304203	0	0	33970	4500	8	1	0	1
304204	0	1	9651	0	12	346	1	0
304208	1	1	15789	122	14	17	0	0
304210	0	1	18116	1487	12	13	0	0
304212	1	1	21233	1200	12	13	0	0
304215	1	1	52991	7000	10	15	0	1
304219	0	0	7110	400	12	2	0	0
304222	0	0	42952	12480	15	37	1	0
304223	0	1	13785	60	14	15	0	1
304224	1	1	73054	30000	12	13	0	1
304225	0	1	43887	4500	12	39	1	1
304231	1	1	25070	0	12	17	0	0
304234	1	1	25499	3000	12	15	0	1
304235	0	0	12093	5000	10	39	1	1
304237	1	1	0	360	16	17	0	0
304238	0	0	351	197	11	39	1	0
304243	0	1	216	2800	12	17	0	0
304244	1	1	24399	5300	11	16	0	0
304246	0	0	3423	3000	8	13	0	0
304248	0	1	4851	3000	11	2	0	1
304249	1	1	2107	3500	11	9	0	0
304250	1	1	10970	0	10	9	0	1
304259	1	1	915	0	12	9	0	0
304262	1	1	25390	6370	12	39	1	0
304265	0	1	50328	8000	14	9	0	1
304268	0	0	23560	0	11	19	0	1
304271	1	1	23868	0	12	17	0	1
304275	1	1	54180	5100	17	0	0	0
304276	0	0	9588	0	10	16	0	0
304278	1	1	2895	5000	14	19	0	1
304281	1	1	8207	0	12	9	0	0
304282	0	0	4476	0	12	17	0	0
304289	0	0	33180	5800	14	39	1	0
304290	0	1	7240	0	12	17	0	0
304293	0	0	24466	1000	12	37	1	0
304297	0	0	18283	6000	16	1	0	0
304301	0	0	26049	220	12	39	1	0
304303	0	1	113	0	9	13	0	1
304307	1	1	50916	23395	12	346	1	0
304309	1	1	22080	4741	12	37	1	0
304311	1	1	0	0	10	9	0	1
304312	1	1	88174	10000	12	13	0	1
304314	1	1	38019	10584	14	13	0	0
304318	1	1	1302	120	12	1	0	0
304319	0	1	69594	11000	12	13	0	1
304321	0	0	20711	1120	12	13	0	0
304322	1	1	3026	0	9	17	0	0
304324	1	1	25695	0	8	19	0	1
304325	0	0	443	0	12	37	1	0
304329	0	0	21091	2000	12	17	0	0
304334	0	0	8033	4200	17	19	0	1
304335	0	0	25497	14159	8	13	0	0
304338	1	1	6933	1440	12	9	0	0
304339	0	1	24344	3200	11	28	0	0
304340	0	1	0	0	12	37	1	0
304341	1	1	75075	8500	12	19	0	1
304342	1	1	39761	10032	13	15	0	0
304343	0	1	3030	0	10	2	0	1
304344	1	1	32112	1700	9	1	0	0
304345	1	1	8958	6754	12	0	0	1
304349	0	0	0	140	9	1	0	0
304350	1	1	7146	0	9	1	0	0
304351	0	0	13130	3500	12	15	0	1
304352	1	1	7979	0	13	19	0	0
304355	0	1	20515	2000	14	13	0	1
304357	1	1	363	0	8	19	0	0
304358	0	0	11070	4200	12	28	0	1
304359	1	1	11520	1200	10	9	0	1
304366	1	1	3522	600	12	15	0	1
304367	0	1	17110	8000	11	1	0	0
304368	0	1	0	0	12	13	0	0
304371	0	1	666	0	10	17	0	0
304374	1	1	64173	0	9	19	0	1
304376	1	1	0	0	11	17	0	0
304379	0	0	96447	20400	12	13	0	1
304382	1	1	16120	0	14	19	0	1
304384	1	1	1941	4250	15	13	0	1
304385	1	1	35349	5200	12	1	0	0
304388	1	1	1488	3000	10	9	0	1
304393	0	0	17848	5000	10	13	0	0
304394	0	0	25193	4000	14	13	0	1
304395	0	1	45043	3000	14	1	0	1
304398	0	1	51131	9000	12	13	0	1
304399	0	0	38941	10500	16	19	0	0
304401	1	1	22550	900	13	37	1	1
304403	0	1	26735	8000	15	1	0	0
304407	0	0	20409	8000	11	16	0	1
304409	0	0	9695	2900	12	2	0	1
304412	1	1	86187	15808	12	13	0	1
304416	1	1	612	0	12	19	0	0
304417	0	0	7038	8265	10	13	0	1
304420	1	1	666	0	12	16	0	0
304422	1	1	332	15000	12	13	0	1
304423	0	0	1859	0	12	346	1	0
304430	0	1	29113	5200	10	39	1	1
304432	1	1	0	0	12	9	0	0
304433	0	0	36250	12520	12	9	0	0
304437	1	1	1365	0	11	15	0	0
304438	1	1	42501	1200	12	2	0	1
304446	1	1	29081	3000	13	39	1	1
304451	0	0	13105	750	12	9	0	0
304453	0	0	49408	600	10	1	0	1
304455	1	1	45	0	9	17	0	0
304458	1	1	15976	2600	14	16	0	0
304460	1	1	71509	10000	13	40	1	1
304462	0	0	744	5306	12	39	1	0
304463	0	0	0	1100	11	19	0	1
304487	1	0	33206	0	12	13	0	0
304491	1	1	8730	3674	12	39	1	0
304492	1	1	15748	444	12	39	1	0
304493	0	1	0	600	14	346	1	0
304496	0	0	6786	1570	11	13	0	0
304497	0	1	255	4184	11	37	1	0
304499	1	1	1011	2000	15	15	0	1
304502	0	0	75771	9200	13	13	0	0
304503	1	1	25537	5000	8	39	1	1
304506	0	1	0	0	12	9	0	1
304509	0	1	0	0	12	13	0	1
304510	0	0	0	3000	11	2	0	1
304511	0	0	27663	6000	11	1	0	0
304512	1	1	0	600	10	9	0	1
304513	0	0	213	0	11	17	0	0
304514	1	1	5841	0	11	9	0	0
304516	0	0	9081	600	11	17	0	0
304517	1	1	34613	9000	12	39	1	1
304518	0	0	28565	10500	12	9	0	0
304519	1	1	20625	4900	11	1	0	0
304520	0	1	7218	0	13	13	0	0
304525	1	1	6923	0	10	13	0	1
304526	1	1	3525	2240	12	13	0	0
304528	0	1	377	3000	12	39	1	1
304529	0	0	12432	2496	10	19	0	1
304534	0	0	23187	7915	12	13	0	1
304536	0	1	0	8000	17	39	1	1
304538	1	1	11244	0	17	13	0	1
304539	0	0	2289	0	7	13	0	0
304546	0	1	9720	0	15	17	0	1
304548	0	1	4797	150	11	13	0	1
304549	0	0	1254	2400	11	28	0	1
304550	1	1	45213	4700	11	39	1	1
304551	0	0	363	60	10	39	1	0
304552	0	1	670	3359	12	13	0	1
304553	0	0	8073	472	11	1	0	1
304556	0	1	583	0	11	2	0	0
304558	1	1	16772	9200	10	13	0	1
304560	1	1	9411	7500	12	13	0	1
304561	1	1	1470	450	12	37	1	0
304562	0	0	0	6020	12	15	0	1
304564	1	1	28753	8000	12	13	0	0
304565	0	1	2790	862	12	19	0	0
304567	0	0	35214	7336	11	13	0	0
304568	1	1	7407	0	12	15	0	1
304569	0	0	2472	3000	12	39	1	0
304570	1	1	83	140	9	39	1	0
304571	1	1	0	4000	14	39	1	1
304573	0	1	3375	3200	8	13	0	0
304577	0	1	2199	0	12	1	0	0
304584	0	1	15479	0	12	17	0	0
304585	0	0	32943	170	10	16	0	1
304592	0	1	1776	837	12	13	0	0
304595	0	0	5371	0	12	28	0	1
304596	0	0	6423	5000	17	2	0	1
304597	0	0	18442	2000	13	37	1	0
304598	1	1	24756	30	14	13	0	1
304599	0	0	35325	1200	12	28	0	1
304600	1	1	13255	0	12	15	0	0
304602	0	0	0	0	15	16	0	0
304606	1	1	28327	3000	10	5	0	1
304607	1	1	45971	0	13	39	1	0
304608	1	1	36760	8736	11	17	0	1
304610	1	1	789	0	9	37	1	1
304611	0	0	549	1530	12	17	0	0
304612	0	0	18828	3200	12	1	0	0
304613	0	1	5226	1642	12	0	0	0
304617	1	1	38121	7760	14	1	0	0
304618	1	1	12461	7000	12	0	0	0
304619	0	1	5700	3000	9	13	0	1
304621	0	1	0	0	8	9	0	0
304623	0	0	8163	0	8	1	0	0
304626	0	0	3162	938	12	13	0	0
304627	1	1	0	0	11	5	0	1
304630	0	0	1701	0	11	9	0	0
304631	0	0	12607	4680	10	13	0	0
304633	0	0	0	0	12	19	0	0
304634	1	1	51170	15000	12	13	0	1
304636	0	0	32187	800	12	13	0	1
304637	0	1	45424	7000	10	13	0	0
304643	1	1	7588	4800	10	19	0	1
304644	1	1	12549	0	8	19	0	0
304647	1	1	3314	326	12	1	0	0
304652	0	1	35406	6000	12	39	1	1
304654	0	0	35350	2000	9	13	0	0
304658	0	0	3066	0	12	13	0	0
304660	0	0	294	16639	8	16	0	1
304661	0	0	31434	0	12	19	0	0
304662	0	0	0	800	8	2	0	0
304663	0	0	52514	2700	8	2	0	1
304665	0	1	0	157	8	13	0	1
304669	0	1	0	0	12	13	0	1
304671	1	1	50088	20557	12	0	0	1
304672	1	1	41742	15000	12	1	0	1
304673	1	1	915	0	12	17	0	1
304676	0	0	22112	6000	12	13	0	0
304680	1	1	0	1300	12	16	0	0
304681	1	1	0	4800	12	17	0	1
304682	0	1	33456	5000	12	39	1	0
304684	0	1	10374	300	11	13	0	1
304685	0	0	30181	3000	16	39	1	0
304688	0	1	5166	0	12	9	0	1
304690	1	1	41767	3000	12	1	0	1
304691	1	1	2148	0	13	17	0	0
304694	0	0	97	800	15	15	0	1
304695	1	1	4102	5450	9	13	0	1
304699	0	1	219	800	9	19	0	0
304700	0	1	90	10400	12	13	0	0
304701	1	1	0	3000	11	9	0	1
304702	1	0	30041	1880	9	0	0	0
304706	0	0	1982	0	10	19	0	0
304709	1	1	82677	0	14	19	0	1
304713	1	1	77944	11000	13	13	0	0
304715	1	1	0	3000	12	9	0	1
304716	1	1	19414	7700	13	39	1	1
304717	0	1	90	2000	13	17	0	1
304718	1	1	20688	300	8	13	0	0
304719	0	0	7842	3640	13	0	0	1
304721	0	0	14567	2460	14	15	0	0
304722	1	1	72468	0	11	0	0	1
304723	0	0	2908	98	12	1	0	1
304724	1	1	42982	4500	12	19	0	1
304727	0	1	1750	315	12	39	1	0
304729	1	1	3263	0	8	13	0	0
304732	1	0	16143	3500	10	13	0	0
304733	0	0	8697	0	9	1	0	0
304734	0	0	0	0	14	16	0	0
304736	0	0	13481	0	12	13	0	0
304738	1	1	22487	0	14	13	0	0
304740	0	1	1335	18000	17	15	0	0
304742	0	1	87	0	12	19	0	1
304745	0	1	0	0	12	37	1	0
304746	0	1	435	1014	11	9	0	1
304747	0	0	0	1100	9	13	0	1
304748	0	1	0	0	10	0	0	0
304749	0	1	46098	20	15	13	0	1
304753	1	1	3375	0	13	16	0	1
304757	0	0	13393	6080	13	39	1	0
304759	1	1	948	3000	14	15	0	0
304763	1	1	0	0	12	16	0	0
304768	0	1	39423	7900	12	13	0	0
304769	0	1	18925	200	11	346	1	1
304770	0	0	83	350	12	16	0	0
304774	0	0	29082	0	8	19	0	0
304775	0	1	27844	6800	12	2	0	1
304778	1	1	16629	700	12	17	0	0
304780	0	0	0	300	9	39	1	0
304781	0	1	0	4000	12	19	0	1
304783	1	1	12582	100	12	37	1	0
304784	1	1	2929	6000	12	28	0	0
304791	1	0	10530	2817	9	16	0	1
304792	0	1	65604	11200	12	1	0	1
304793	0	0	29964	6000	11	13	0	1
304795	0	0	18663	8000	12	28	0	0
304797	1	1	19739	3000	16	37	1	1
304798	0	0	14521	340	10	16	0	0
304803	0	1	0	7200	12	17	0	0
304804	0	0	11679	4600	14	16	0	0
304805	0	0	5387	0	10	16	0	0
304809	1	1	120	0	12	16	0	0
304811	0	0	19740	260	12	19	0	1
304812	0	1	6603	0	8	19	0	1
304813	1	1	13859	2100	12	39	1	0
304816	1	1	21840	8038	16	0	0	1
304820	0	1	2778	7198	14	15	0	0
304821	1	1	28050	4000	13	17	0	0
304823	1	1	36600	2616	10	1	0	0
304827	0	0	9207	6000	12	9	0	0
304835	0	0	4308	0	14	1	0	0
304838	0	1	21120	98	12	13	0	1
304839	1	1	9923	500	17	15	0	1
304840	0	0	81153	12769	12	16	0	1
304841	0	0	0	2000	12	15	0	1
304842	1	1	7378	4000	12	17	0	1
304843	0	0	22999	6682	12	16	0	0
304844	1	1	290	0	12	0	0	0
304846	1	1	36597	5200	16	16	0	0
304848	0	0	11476	1000	12	37	1	1
304852	0	1	6759	350	8	39	1	0
304853	0	1	5697	2900	11	39	1	1
304856	0	0	0	0	12	19	0	0
